price,bedRoom,bathroom,balcony,floorNum,agePossession,sector,Servant_Room,Study_Room,Pooja_Room,Store_Room,Built_Up_Area,furnishing_type,luxury_category,Latitude,Longitude
265.0,3.0,4.0,3.0,19.0,Relatively New,sector 111,1,1,1,1,1772.0,Unfurnished,Semi Luxurious,28.5238° N, 77.0320° E
222.00000000000003,3.0,4.0,3.0,14.0,Relatively New,sector 109,1,1,1,1,1860.0,Unfurnished,Semi Luxurious,28.5073° N, 77.0089° E
185.0,3.0,4.0,3.0,14.0,Relatively New,sector 104,1,1,1,1,1832.0,Unfurnished,Luxurious,28.4788° N, 76.9960° E
98.0,2.0,3.0,3.0,12.0,Relatively New,sector 108,1,1,1,1,978.23,Unfurnished,Not Luxurious,28.5134° N, 76.9830° E
245.00000000000003,4.0,4.0,3.0,11.0,Relatively New,sector 103,1,1,1,1,2300.0,Unfurnished,Semi Luxurious,28.4949° N, 76.9845° E
134.0,3.0,3.0,3.0,12.0,Relatively New,sector 103,1,1,1,1,1380.0,Fully Furnished,Semi Luxurious,28.4949° N, 76.9845° E
192.0,3.0,3.0,3.0,12.0,Relatively New,sector 102,1,1,1,1,2400.0,Fully Furnished,Luxurious,28.4750° N, 76.9715° E
190.0,3.0,3.0,3.0,9.0,Relatively New,sector 102,0,1,1,1,2266.8,Unfurnished,Not Luxurious,28.4750° N, 76.9715° E
455.0,4.0,4.0,3.0,11.0,Relatively New,sector 102,0,0,0,0,4630.0,Fully Furnished,Semi Luxurious,28.4750° N, 76.9715° E
154.0,3.0,3.0,3.0,12.0,Relatively New,sector 102,1,0,0,0,1320.0,Unfurnished,Not Luxurious,28.4750° N, 76.9715° E
155.0,4.0,4.0,3.0,12.0,Moderately Old,sector 86,1,0,1,0,1884.8,Fully Furnished,Luxurious,28.3986° N, 76.9384° E
168.0,3.0,3.0,3.0,4.0,Relatively New,sector 108,1,1,0,0,1338.29,Fully Furnished,Luxurious,28.5134° N, 76.9830° E
230.0,3.0,3.0,3.0,3.0,Relatively New,sector 70,0,0,0,1,1720.0,Fully Furnished,Luxurious,28.3968° N, 77.0233° E
97.5,3.0,3.0,3.0,1.0,Relatively New,sector 70,0,0,0,0,1184.0,Unfurnished,Luxurious,28.3968° N, 77.0233° E
190.0,4.0,4.0,3.0,7.0,Relatively New,sector 90,1,0,1,0,2181.6,Unfurnished,Luxurious,28.4085° N, 76.9369° E
155.0,4.0,4.0,3.0,1.0,Relatively New,sector 90,1,0,1,0,1891.2,Unfurnished,Semi Luxurious,28.4085° N, 76.9369° E
113.0,3.0,3.0,3.0,8.0,Relatively New,sector 90,0,0,0,0,1384.0,Unfurnished,Semi Luxurious,28.4085° N, 76.9369° E
85.0,3.0,4.0,3.0,3.0,Relatively New,sector 90,1,0,0,1,1544.0,Unfurnished,Luxurious,28.4085° N, 76.9369° E
264.0,3.0,4.0,3.0,2.0,Moderately Old,sector 49,1,0,1,0,1750.75,Fully Furnished,Luxurious,28.4121° N, 77.0480° E
210.0,3.0,3.0,3.0,9.0,Moderately Old,sector 49,0,0,1,0,1604.25,Fully Furnished,Luxurious,28.4121° N, 77.0480° E
140.0,2.0,2.0,3.0,0.0,Relatively New,sector 102,0,0,0,0,1094.4,Fully Furnished,Semi Luxurious,28.4750° N, 76.9715° E
145.0,3.0,3.0,2.0,7.0,Relatively New,sector 102,1,0,0,0,1320.0,Fully Furnished,Luxurious,28.4750° N, 76.9715° E
120.0,3.0,3.0,3.0,8.0,Moderately Old,sector 90,1,0,1,0,2316.0,Unfurnished,Semi Luxurious,28.4085° N, 76.9369° E
